timestamp_start,timestamp_end,server,ip_protocol,transport_protocol,download,upload,priority,average_speed,download_mbps,upload_mbps
2024-01-11 10:06:39,2024-01-11 10:06:40,131.173.23.81,v4,UDP,101856000,7448000,1,0,101.856,7.448
2024-01-11 10:06:40,2024-01-11 10:06:41,131.173.23.81,v4,UDP,67160000,12718000,1,0,67.16,12.718
2024-01-11 10:06:41,2024-01-11 10:06:42,131.173.23.81,v4,UDP,213230000,16845000,1,0,213.23,16.845
2024-01-11 10:06:42,2024-01-11 10:06:43,131.173.23.81,v4,UDP,221393000,16044000,1,0,221.393,16.044
2024-01-11 10:06:43,2024-01-11 10:06:44,131.173.23.81,v4,UDP,226215000,14237000,1,0,226.215,14.237
2024-01-11 10:06:44,2024-01-11 10:06:45,131.173.23.81,v4,UDP,226767000,13577000,1,0,226.767,13.577
2024-01-11 10:06:45,2024-01-11 10:06:46,131.173.23.81,v4,UDP,194588000,14653000,1,0,194.588,14.653
2024-01-11 10:06:46,2024-01-11 10:06:47,131.173.23.81,v4,UDP,220212000,15361000,1,0,220.212,15.361
2024-01-11 10:06:47,2024-01-11 10:06:48,131.173.23.81,v4,UDP,218555000,13367000,1,0,218.555,13.367
2024-01-11 10:06:48,2024-01-11 10:06:49,131.173.23.81,v4,UDP,218835000,13392000,1,0,218.835,13.392
2024-01-11 10:06:49,2024-01-11 10:06:50,131.173.23.81,v4,UDP,205685000,12905000,1,0,205.685,12.905
2024-01-11 10:06:50,2024-01-11 10:06:51,131.173.23.81,v4,UDP,218451000,13159000,1,0,218.451,13.159
2024-01-11 10:06:51,2024-01-11 10:06:52,131.173.23.81,v4,UDP,218254000,13704000,1,0,218.254,13.704
2024-01-11 10:06:52,2024-01-11 10:06:53,131.173.23.81,v4,UDP,216574000,13912000,1,0,216.574,13.912
2024-01-11 10:06:53,2024-01-11 10:06:54,131.173.23.81,v4,UDP,197658000,16056000,1,0,197.658,16.056
2024-01-11 10:08:00,2024-01-11 10:08:01,131.173.23.81,v4,UDP,63719000,3382000,1,0,63.719,3.382
2024-01-11 10:08:01,2024-01-11 10:08:02,131.173.23.81,v4,UDP,39015000,4310000,1,0,39.015,4.31
2024-01-11 10:08:02,2024-01-11 10:08:03,131.173.23.81,v4,UDP,25079000,3498000,1,0,25.079,3.498
2024-01-11 10:08:03,2024-01-11 10:08:04,131.173.23.81,v4,UDP,16878000,2711000,1,0,16.878,2.711
2024-01-11 10:08:04,2024-01-11 10:08:05,131.173.23.81,v4,UDP,27837000,2641000,1,0,27.837,2.641
2024-01-11 10:08:05,2024-01-11 10:08:06,131.173.23.81,v4,UDP,30583000,3255000,1,0,30.583,3.255
2024-01-11 10:08:06,2024-01-11 10:08:07,131.173.23.81,v4,UDP,23664000,3671000,1,0,23.664,3.671
2024-01-11 10:08:07,2024-01-11 10:08:08,131.173.23.81,v4,UDP,28509000,4171000,1,0,28.509,4.171
2024-01-11 10:08:08,2024-01-11 10:08:09,131.173.23.81,v4,UDP,39142000,3904000,1,0,39.142,3.904
2024-01-11 10:08:09,2024-01-11 10:08:10,131.173.23.81,v4,UDP,52626000,4147000,1,0,52.626,4.147
2024-01-11 10:08:10,2024-01-11 10:08:11,131.173.23.81,v4,UDP,56301000,6383000,1,0,56.301,6.383
2024-01-11 10:08:11,2024-01-11 10:08:12,131.173.23.81,v4,UDP,340241000,28474000,1,0,340.241,28.474
2024-01-11 10:08:12,2024-01-11 10:08:13,131.173.23.81,v4,UDP,339684000,29713000,1,0,339.684,29.713
2024-01-11 10:08:13,2024-01-11 10:08:14,131.173.23.81,v4,UDP,347519000,29447000,1,0,347.519,29.447
2024-01-11 10:08:14,2024-01-11 10:08:15,131.173.23.81,v4,UDP,315756000,28902000,1,0,315.756,28.902
2024-01-11 10:08:57,2024-01-11 10:08:58,131.173.23.81,v4,UDP,76507000,,1,0,76.507,
2024-01-11 10:08:58,2024-01-11 10:08:59,131.173.23.81,v4,UDP,81545000,,1,0,81.545,
2024-01-11 10:08:59,2024-01-11 10:09:00,131.173.23.81,v4,UDP,75778000,,1,0,75.778,
2024-01-11 10:09:00,2024-01-11 10:09:01,131.173.23.81,v4,UDP,87360000,,1,0,87.36,
2024-01-11 10:09:01,2024-01-11 10:09:02,131.173.23.81,v4,UDP,133853000,,1,0,133.853,
2024-01-11 10:09:02,2024-01-11 10:09:03,131.173.23.81,v4,UDP,136255000,,1,0,136.255,
2024-01-11 10:09:03,2024-01-11 10:09:04,131.173.23.81,v4,UDP,114126000,,1,0,114.126,
2024-01-11 10:09:04,2024-01-11 10:09:05,131.173.23.81,v4,UDP,81158000,,1,0,81.158,
2024-01-11 10:09:05,2024-01-11 10:09:06,131.173.23.81,v4,UDP,74172000,,1,0,74.172,
2024-01-11 10:09:06,2024-01-11 10:09:07,131.173.23.81,v4,UDP,81250000,,1,0,81.25,
2024-01-11 10:09:07,2024-01-11 10:09:08,131.173.23.81,v4,UDP,79883000,,1,0,79.883,
2024-01-11 10:09:08,2024-01-11 10:09:09,131.173.23.81,v4,UDP,111235000,,1,0,111.235,
2024-01-11 10:09:09,2024-01-11 10:09:10,131.173.23.81,v4,UDP,162284000,,1,0,162.284,
2024-01-11 10:09:10,2024-01-11 10:09:11,131.173.23.81,v4,UDP,124818000,,1,0,124.818,
2024-01-11 10:09:11,2024-01-11 10:09:12,131.173.23.81,v4,UDP,61591000,,1,0,61.591,
2024-01-11 10:10:07,2024-01-11 10:10:08,131.173.23.81,v4,UDP,176459000,9625000,1,0,176.459,9.625
2024-01-11 10:10:08,2024-01-11 10:10:09,131.173.23.81,v4,UDP,179436000,11596000,1,0,179.436,11.596
2024-01-11 10:10:09,2024-01-11 10:10:10,131.173.23.81,v4,UDP,138765000,11005000,1,0,138.765,11.005
2024-01-11 10:10:10,2024-01-11 10:10:11,131.173.23.81,v4,UDP,153308000,11258000,1,0,153.308,11.258
2024-01-11 10:10:11,2024-01-11 10:10:12,131.173.23.81,v4,UDP,35022000,4287000,1,0,35.022,4.287
2024-01-11 10:10:12,2024-01-11 10:10:13,131.173.23.81,v4,UDP,221498000,17827000,1,0,221.498,17.827
2024-01-11 10:10:13,2024-01-11 10:10:14,131.173.23.81,v4,UDP,202129000,18813000,1,0,202.129,18.813
2024-01-11 10:10:14,2024-01-11 10:10:15,131.173.23.81,v4,UDP,248037000,19646000,1,0,248.037,19.646
2024-01-11 10:10:15,2024-01-11 10:10:16,131.173.23.81,v4,UDP,246871000,19554000,1,0,246.871,19.554
2024-01-11 10:10:16,2024-01-11 10:10:17,131.173.23.81,v4,UDP,197021000,19669000,1,0,197.021,19.669
2024-01-11 10:10:17,2024-01-11 10:10:18,131.173.23.81,v4,UDP,191992000,19381000,1,0,191.992,19.381
